target_smell,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid,induction_en,induction_es,induction_fr,induction_zh
Data Class,284,96.48,3.47,1.12,98.75,98.75,57.03,284,61.97,64.23,56.0,83.33,82.35,71.43
Deep Nesting,306,90.2,22.72,13.86,80.33,80.33,29.66,306,46.41,47.46,53.76,41.38,30.0,32.26
Duplicated Code,332,92.77,9.28,6.18,79.1,79.1,45.79,332,94.58,97.4,98.1,100.0,100.0,87.88
Global State,284,90.49,18.32,11.48,87.07,87.07,56.26,284,64.79,71.6,76.69,72.41,64.71,51.61
God Class / Large Class,348,94.54,7.11,4.72,72.97,72.97,61.22,348,31.61,33.43,38.03,25.0,25.81,15.62
Long Method,348,91.95,11.02,8.09,83.05,83.05,53.17,348,63.51,65.31,65.47,68.97,68.57,57.58
Long Parameter List,348,92.53,27.86,9.25,96.05,96.05,31.2,348,99.14,99.69,100.0,100.0,100.0,97.22
Magic Numbers/Strings,306,93.79,16.98,15.74,78.46,78.46,25.67,306,93.46,94.08,96.81,90.62,94.12,81.82
